gap_ratio,iterations,time,converged,final_error,theoretical_rate,observed_rate
0.99,500,0.0020093917846679688,False,5.6620358068748544e-08,0.99,
0.95,154,0.0015358924865722656,True,9.028670033828234e-10,0.95,0.8611224963143023
0.9,82,0.0,True,4.1075820522706863e-10,0.9,0.7551770453120366
0.7,31,0.0,True,4.077549409231551e-11,0.7,0.4757944314009411
0.5,19,0.0,True,1.1281087175518678e-11,0.5,0.2976351441631318
0.3,12,0.0010128021240234375,True,7.343792240988023e-12,0.3,0.14677992676220697
