damping,iterations,eigenvalue_gap,top_page,top_score,ranking_changes
0.5,17,0.7318989005302784,1,0.12600512666137356,0
0.7,22,0.6246584607423898,1,0.14419553459506007,0
0.85,28,0.5442281309014726,1,0.15841961165283755,0
0.9,30,0.5174180209544994,1,0.16327557809599413,0
0.95,32,0.49060791100752965,1,0.16818833896044355,0
